
=== 129 PAGES EN BASE ===

SLUG                               TITLE                                   STATUS      PUB   CONTENT   STRUCT
normes-ressources                  Normes & - Ressources                   published   YES   12842     yes
nos-actions                        Nos Actions                             published   YES   12972     yes
observatoire                       Observatoire                            published   YES   0         yes
office/document/new                Office Document New                     published   YES   0         yes
office/document/template/{templateId}Office Document Template {templateId}   published   YES   0         yes
office/document/{id}               Office Document {id}                    published   YES   0         yes
office/presentation/new            Office Presentation New                 published   YES   0         yes
office/presentation/template/{templateId}Office Presentation Template {template  published   YES   0         yes
office/presentation/{id}           Office Presentation {id}                published   YES   0         yes
office/spreadsheet/new             Office Spreadsheet New                  published   YES   0         yes
office/spreadsheet/template/{templateId}Office Spreadsheet Template {templateI  published   YES   0         yes
office/spreadsheet/{id}            Office Spreadsheet {id}                 published   YES   0         yes
outils                             outils                                  published   YES   119       yes
partenaires                        Nos - Partenaires                       published   YES   0         yes
partenaires-liste                  Partenaires                             published   YES   13914     yes
partenariat-senelec                Partenariat SENELEC                     published   YES   0         yes
partner                            Partner                                 published   YES   0         yes
plan-du-site                       Plan Du Site                            published   YES   0         yes
portal                             Portal                                  published   YES   0         yes
portal/dashboard                   Tableau de Bord                         published   YES   239       yes
portal/formations                  Espace Formations                       published   YES   239       yes
portal/marches                     Suivi des Marchés                       published   YES   239       yes
portal/{slug}                      Portal {slug}                           published   YES   0         yes
presse                             Espace - Presse                         published   YES   0         yes
presse/communiques                 Communiqués                             published   YES   239       yes
presse/revue                       Revue de Presse                         published   YES   239       yes
presse/{slug}                      Presse {slug}                           published   YES   0         yes
professionnels                     Espace Professionnels                   published   YES   0         yes
projects                           Projects                                published   YES   0         yes
projects/{id}                      Projects {id}                           published   YES   0         yes
projets                            Projets                                 published   YES   12993     yes
projets-realisations               Projets & - Réalisations                published   YES   0         yes
publications                       Publications                            published   YES   0         yes
ressources-pedagogiques            Ressources pédagogiques                 published   YES   0         yes
rubrique-selector                  Rubrique Selector                       published   YES   126       yes
schema-builder                     Schema Builder                          published   YES   109       yes
showroom                           showroom                                published   YES   124       yes
sitemap                            Sitemap                                 published   YES   0         yes
social                             Réseaux & - Social                      published   YES   0         yes
temoignages                        Témoignages                             published   YES   0         yes
test-builder                       Test Page Builder                       published   YES   0         yes
teste                              TESTE                                   draft       NO    5         yes
trainings                          Formations PROQUELEC                    draft       YES   9504      yes
utilite-publique                   Utilité - Publique                      published   YES   12090     yes
⚠️  TITRES DUPLIQUÉS: Collectivités locales, Formations PROQUELEC
